@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       27150.00          0.4090          0.5063 
       27200.00          0.3777          0.5374 
       27250.00          0.4187          0.5356 
       27300.00          0.4523          0.6646 
       27350.00          0.5003          0.7200 
       27400.00          0.3891          0.6021 
       27450.00          0.4526          0.7071 
       27500.00          0.4123          0.6557 
       27550.00          0.4107          0.5820 
       27600.00          0.4599          0.6150 
       27650.00          0.4204          0.6185 
       27700.00          0.4184          0.5605 
       27750.00          0.3910          0.5765 
       27800.00          0.4043          0.5200 
       27850.00          0.4404          0.4747 
       27900.00          0.4120          0.5255 
       27950.00          0.3841          0.5340 
       28000.00          0.3620          0.4876 
       28050.00          0.3694          0.4896 
       28100.00          0.3770          0.5109 
       28150.00          0.3936          0.5078 
       28200.00          0.3706          0.4106 
       28250.00          0.3968          0.4842 
       28300.00          0.3716          0.5115 
       28350.00          0.4422          0.3927 
       28400.00          0.4308          0.3035 
       28450.00          0.4528          0.2418 
       28500.00          0.4411          0.3126 
       28550.00          0.4209          0.4195 
       28600.00          0.4446          0.3157 
       28650.00          0.5061          0.2683 
       28700.00          0.4720          0.2246 
       28750.00          0.4821          0.1792 
       28800.00          0.4729          0.2521 
       28850.00          0.4414          0.2882 
       28900.00          0.4324          0.2043 
       28950.00          0.4376          0.2980 
       29000.00          0.4629          0.2685 
       29050.00          0.4447          0.3791 
       29100.00          0.4090          0.2833 
       29150.00          0.4622          0.2569 
       29200.00          0.4771          0.1521 
       29250.00          0.4834          0.1717 
       29300.00          0.4416          0.2308 
       29350.00          0.3697          0.3503 
       29400.00          0.4310          0.3271 
       29450.00          0.4798          0.2671 
       29500.00          0.5015          0.2436 
       29550.00          0.4549          0.2407 
       29600.00          0.5120          0.1725 
       29650.00          0.4463          0.2582 
       29700.00          0.4251          0.3333 
       29750.00          0.4300          0.3504 
       29800.00          0.4118          0.4365 
       29850.00          0.4323          0.4500 
       29900.00          0.4291          0.4829 
       29950.00          0.4409          0.5377 
       30000.00          0.4305          0.5028 
       30050.00          0.4655          0.5439 
       30100.00          0.4824          0.6165 
       30150.00          0.4810          0.6085 
       30200.00          0.4631          0.6282 
       30250.00          0.4410          0.5882 
       30300.00          0.4344          0.5658 
       30350.00          0.4096          0.5771 
       30400.00          0.4607          0.6365 
       30450.00          0.4730          0.6949 
       30500.00          0.4456          0.6909 
       30550.00          0.4468          0.6502 
       30600.00          0.4558          0.6841 
       30650.00          0.4946          0.6713 
       30700.00          0.5179          0.7452 
       30750.00          0.4861          0.6893 
       30800.00          0.4830          0.6758 
       30850.00          0.4524          0.6179 
       30900.00          0.4732          0.6377 
       30950.00          0.4876          0.6821 
       31000.00          0.5296          0.7498 
       31050.00          0.5146          0.7044 
       31100.00          0.4804          0.7112 
       31150.00          0.4472          0.6786 
       31200.00          0.4681          0.6409 
       31250.00          0.4738          0.6842 
       31300.00          0.5365          0.7328 
       31350.00          0.4567          0.6699 
       31400.00          0.3927          0.6466 
       31450.00          0.3892          0.6000 
       31500.00          0.3700          0.5656 
       31550.00          0.4496          0.6202 
       31600.00          0.4610          0.6186 
       31650.00          0.4217          0.5769 
       31700.00          0.4313          0.6021 
       31750.00          0.4081          0.5854 
       31800.00          0.4026          0.5888 
       31850.00          0.4534          0.6251 
       31900.00          0.4483          0.6483 
       31950.00          0.4525          0.6566 
       32000.00          0.4924          0.7075 
       32050.00          0.5140          0.7061 
       32100.00          0.4969          0.6644 
       32150.00          0.4177          0.5852 
       32200.00          0.4257          0.5817 
       32250.00          0.4261          0.4552 
       32300.00          0.3806          0.4414 
       32350.00          0.4475          0.4047 
       32400.00          0.4010          0.3870 
       32450.00          0.4413          0.3411 
       32500.00          0.4452          0.4011 
       32550.00          0.4363          0.4723 
       32600.00          0.4332          0.4402 
       32650.00          0.4166          0.4472 
       32700.00          0.4307          0.4146 
       32750.00          0.4216          0.4418 
       32800.00          0.4407          0.4274 
       32850.00          0.4758          0.3244 
       32900.00          0.4907          0.2963 
       32950.00          0.4819          0.3125 
       33000.00          0.4378          0.3258 
       33050.00          0.4149          0.4399 
       33100.00          0.4119          0.4315 
       33150.00          0.4277          0.3909 
       33200.00          0.4229          0.4311 
       33250.00          0.4504          0.4407 
       33300.00          0.3916          0.4180 
       33350.00          0.4266          0.4519 
       33400.00          0.3776          0.4579 
       33450.00          0.3888          0.5204 
       33500.00          0.3903          0.5431 
       33550.00          0.4714          0.6737 
       33600.00          0.4755          0.6826 
