@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       35300.00          0.0697          0.4419 
       35350.00          0.0654          0.4462 
       35400.00          0.0878          0.4463 
       35450.00          0.1134          0.4330 
       35500.00          0.0700          0.4263 
       35550.00          0.1148          0.4251 
       35600.00          0.1057          0.4409 
       35650.00          0.0679          0.4531 
       35700.00          0.0517          0.4503 
       35750.00          0.0390          0.4451 
       35800.00          0.0361          0.4424 
       35850.00          0.0969          0.4364 
       35900.00          0.1443          0.4459 
       35950.00          0.1671          0.4363 
       36000.00          0.1368          0.4598 
       36050.00          0.1143          0.4600 
       36100.00          0.1082          0.4686 
       36150.00          0.0790          0.4532 
       36200.00          0.0680          0.4434 
       36250.00          0.1287          0.4176 
       36300.00          0.1334          0.4116 
       36350.00          0.1660          0.4075 
       36400.00          0.1660          0.4503 
       36450.00          0.1321          0.4019 
       36500.00          0.1836          0.3872 
       36550.00          0.1714          0.4181 
       36600.00          0.1578          0.4033 
       36650.00          0.1742          0.4189 
       36700.00          0.1434          0.4179 
       36750.00          0.1907          0.4169 
       36800.00          0.1689          0.4126 
       36850.00          0.1753          0.4061 
       36900.00          0.1450          0.4232 
       36950.00          0.1735          0.4343 
       37000.00          0.1562          0.4251 
       37050.00          0.2084          0.3935 
       37100.00          0.2006          0.3930 
       37150.00          0.1532          0.4314 
       37200.00          0.1303          0.4226 
       37250.00          0.2165          0.3868 
       37300.00          0.1925          0.4101 
       37350.00          0.1879          0.4105 
       37400.00          0.1826          0.4022 
       37450.00          0.1752          0.3961 
       37500.00          0.1865          0.3925 
       37550.00          0.1550          0.4041 
       37600.00          0.1949          0.4025 
       37650.00          0.1891          0.4038 
       37700.00          0.1982          0.3792 
       37750.00          0.1461          0.4095 
       37800.00          0.1918          0.3967 
       37850.00          0.1588          0.4098 
       37900.00          0.1406          0.4113 
       37950.00          0.1588          0.4145 
       38000.00          0.1710          0.4216 
       38050.00          0.1686          0.4049 
       38100.00          0.1465          0.4052 
       38150.00          0.1705          0.4058 
       38200.00          0.1659          0.4020 
       38250.00          0.2179          0.3905 
       38300.00          0.1680          0.4142 
       38350.00          0.1479          0.4306 
       38400.00          0.1418          0.4180 
       38450.00          0.1426          0.4111 
       38500.00          0.1615          0.4152 
       38550.00          0.1612          0.4187 
       38600.00          0.1585          0.4045 
       38650.00          0.1930          0.3904 
       38700.00          0.1720          0.4038 
       38750.00          0.1677          0.3978 
       38800.00          0.1291          0.4113 
       38850.00          0.1943          0.4057 
       38900.00          0.1323          0.4151 
       38950.00          0.1682          0.4184 
       39000.00          0.1488          0.4273 
       39050.00          0.1590          0.4162 
       39100.00          0.1474          0.4178 
       39150.00          0.1904          0.4262 
       39200.00          0.1430          0.4213 
       39250.00          0.1202          0.4187 
       39300.00          0.2043          0.3819 
       39350.00          0.1395          0.4186 
       39400.00          0.1662          0.4084 
       39450.00          0.2036          0.3927 
       39500.00          0.1740          0.4052 
       39550.00          0.1541          0.4087 
       39600.00          0.1978          0.4129 
       39650.00          0.1851          0.3984 
       39700.00          0.1837          0.4119 
       39750.00          0.1365          0.4480 
       39800.00          0.1094          0.4471 
       39850.00          0.0635          0.4466 
       39900.00          0.0588          0.4470 
       39950.00          0.0722          0.4297 
       40000.00          0.0346          0.4488 
       40050.00          0.0619          0.4492 
       40100.00          0.0617          0.4522 
       40150.00          0.0627          0.4429 
       40200.00          0.0861          0.4381 
       40250.00          0.0818          0.4515 
       40300.00          0.0822          0.4471 
       40350.00          0.0575          0.4428 
       40400.00          0.0729          0.4422 
       40450.00          0.0803          0.4443 
       40500.00          0.0644          0.4525 
       40550.00          0.0529          0.4417 
       40600.00          0.0803          0.4567 
